46.585: [GC 1014701K->819495K(1502272K), 0.2444080 secs]
47.173: [GC 1023975K->817801K(1502272K), 0.0817620 secs]
47.693: [GC 1022281K->819876K(1502272K), 0.2753360 secs]
48.551: [GC 1024356K->820060K(1502272K), 0.2405670 secs]
49.276: [GC 1024540K->886728K(1502272K), 1.3605360 secs]
50.894: [GC 982743K(1502272K), 0.3474480 secs]
51.456: [GC 1091208K->1057744K(1502272K), 2.7254920 secs]
54.777: [GC 1262224K->1216084K(1502272K), 2.5252490 secs]
59.675: [Full GC 1375601K->594777K(1502272K), 5.7591640 secs]
66.032: [GC 799257K->647675K(1502272K), 0.6235230 secs]
67.046: [GC 852155K->662620K(1502272K), 0.3715800 secs]
67.446: [GC 677967K(1502272K), 0.0573360 secs]
67.917: [GC 867100K->672657K(1502272K), 0.3819450 secs]
68.758: [GC 877137K->677464K(1502272K), 0.2925920 secs]
69.428: [GC 881944K->677054K(1502272K), 0.1058500 secs]
70.041: [GC 881534K->690781K(1502272K), 0.4681380 secs]
70.978: [GC 895261K->699421K(1502272K), 0.3686580 secs]
71.771: [GC 903901K->720760K(1502272K), 0.5250360 secs]
72.729: [GC 925240K->720488K(1502272K), 0.1043460 secs]
73.319: [GC 924968K->718593K(1502272K), 0.2261920 secs]
74.053: [GC 923073K->717409K(1502272K), 0.1579560 secs]
74.671: [GC 921889K->723634K(1502272K), 0.2796160 secs]
75.387: [GC 928114K->723963K(1502272K), 0.1952080 secs]
76.030: [GC 928443K->735548K(1502272K), 0.4524090 secs]
76.942: [GC 940028K->734950K(1502272K), 0.1509650 secs]
77.492: [GC 939430K->739154K(1502272K), 0.3008390 secs]
78.273: [GC 943634K->739893K(1502272K), 0.2237160 secs]
78.957: [GC 944373K->749922K(1502272K), 0.3779860 secs]
79.820: [GC 954402K->753562K(1502272K), 0.2699400 secs]
80.489: [GC 958042K->753570K(1502272K), 0.2353440 secs]
81.187: [GC 958050K->764656K(1502272K), 0.4061130 secs]
82.049: [GC 969136K->770711K(1502272K), 0.3880600 secs]
82.903: [GC 975191K->771727K(1502272K), 0.2848560 secs]
83.321: [GC 832097K(1502272K), 0.1311030 secs]
83.745: [GC 976207K->771737K(1502272K), 0.2147840 secs]
84.393: [GC 976217K->780649K(1502272K), 0.4314950 secs]
85.293: [GC 985129K->784942K(1502272K), 0.2819100 secs]
86.090: [GC 989422K->784950K(1502272K), 0.2058560 secs]
86.793: [GC 989430K->783870K(1502272K), 0.1512110 secs]
87.435: [GC 988350K->792504K(1502272K), 0.3721740 secs]
88.300: [GC 979982K->777811K(1502272K), 0.2305220 secs]
88.950: [GC 973081K->767757K(1502272K), 0.0790920 secs]
89.472: [GC 969634K->760976K(1502272K), 0.1825050 secs]
90.186: [GC 965456K->828282K(1502272K), 1.1638660 secs]
91.809: [GC 1032762K->885245K(1502272K), 0.9540640 secs]
93.166: [GC 1089725K->960453K(1502272K), 1.3122770 secs]
94.526: [GC 972887K(1502272K), 0.0607120 secs]
95.086: [GC 1164933K->1074919K(1502272K), 1.8993110 secs]
97.488: [GC 1279399K->1117324K(1502272K), 0.8900590 secs]
98.950: [GC 1321804K->1222903K(1502272K), 1.7855500 secs]
103.010: [Full GC 1427383K->504513K(1502272K), 4.9999280 secs]
108.100: [GC 522259K(1502272K), 0.0363580 secs]
108.565: [GC 708993K->569109K(1502272K), 0.7842460 secs]
109.799: [GC 773589K->627927K(1502272K), 1.1104710 secs]
111.499: [GC 832407K->655296K(1502272K), 0.5361460 secs]
112.606: [GC 859776K->652428K(1502272K), 0.2507120 secs]
113.284: [GC 856908K->658702K(1502272K), 0.2616140 secs]
113.945: [GC 863182K->669679K(1502272K), 0.4201270 secs]
114.828: [GC 874159K->668869K(1502272K), 0.1375760 secs]
115.401: [GC 873349K->672300K(1502272K), 0.3134870 secs]
116.368: [GC 876780K->673387K(1502272K), 0.2032700 secs]
116.973: [GC 877867K->673404K(1502272K), 0.1516370 secs]
117.518: [GC 877884K->678491K(1502272K), 0.2796040 secs]
118.275: [GC 882971K->681451K(1502272K), 0.2400680 secs]
118.985: [GC 885931K->678233K(1502272K), 0.1676280 secs]
119.566: [GC 882713K->681461K(1502272K), 0.1958350 secs]
120.297: [GC 885941K->683446K(1502272K), 0.3096430 secs]
121.122: [GC 887926K->684119K(1502272K), 0.1762720 secs]
121.781: [GC 888599K->692913K(1502272K), 0.3658370 secs]
122.535: [GC 897393K->699384K(1502272K), 0.3305680 secs]
123.273: [GC 903864K->700910K(1502272K), 0.3404640 secs]
124.081: [GC 905390K->711730K(1502272K), 0.4051950 secs]
124.623: [GC 755731K(1502272K), 0.1889690 secs]
125.138: [GC 916210K->717390K(1502272K), 0.2833520 secs]
125.869: [GC 921870K->717738K(1502272K), 0.1868410 secs]
126.709: [GC 922218K->718738K(1502272K), 0.2362720 secs]
127.415: [GC 923218K->727466K(1502272K), 0.3089680 secs]
128.424: [GC 931946K->733839K(1502272K), 0.5090160 secs]
129.656: [GC 938319K->734081K(1502272K), 0.3646050 secs]
130.519: [GC 938561K->732110K(1502272K), 0.1560670 secs]
131.076: [GC 936590K->757924K(1502272K), 0.4960610 secs]
132.054: [GC 962404K->759281K(1502272K), 0.1871940 secs]
132.690: [GC 963761K->771895K(1502272K), 0.3445130 secs]
133.364: [GC 976375K->781568K(1502272K), 0.3786070 secs]
134.098: [GC 986048K->821116K(1502272K), 0.6769040 secs]
134.809: [GC 841879K(1502272K), 0.1158750 secs]
135.389: [GC 1025596K->890863K(1502272K), 1.1144940 secs]
136.996: [GC 1095343K->1019694K(1502272K), 1.7730840 secs]
139.209: [GC 1224174K->1069576K(1502272K), 0.8254100 secs]
140.476: [GC 1274056K->1118192K(1502272K), 1.0583080 secs]
142.023: [GC 1322672K->1168762K(1502272K), 0.9047770 secs]
143.289: [GC 1373242K->1240887K(1502272K), 1.0657120 secs]
147.449: [Full GC 1445367K->571118K(1502272K), 5.7780570 secs]
153.314: [GC 594771K(1502272K), 0.0422520 secs]
153.646: [GC 775598K->633741K(1502272K), 0.5825250 secs]
154.673: [GC 838221K->646572K(1502272K), 0.3115290 secs]
155.373: [GC 851052K->646690K(1502272K), 0.1461480 secs]
155.911: [GC 851170K->652635K(1502272K), 0.2137880 secs]
156.593: [GC 857115K->665917K(1502272K), 0.3959250 secs]
157.418: [GC 870087K->665918K(1502272K), 0.0973300 secs]
157.876: [GC 870398K->668191K(1502272K), 0.2151120 secs]
158.460: [GC 872671K->668207K(1502272K), 0.1517380 secs]
158.993: [GC 872687K->678602K(1502272K), 0.3368230 secs]
159.722: [GC 883082K->686262K(1502272K), 0.2679440 secs]
160.369: [GC 890742K->687675K(1502272K), 0.1970050 secs]
161.003: [GC 892155K->689321K(1502272K), 0.2102770 secs]
161.650: [GC 893801K->697983K(1502272K), 0.2789620 secs]
162.305: [GC 902463K->702295K(1502272K), 0.2574370 secs]
163.024: [GC 906775K->703470K(1502272K), 0.2028320 secs]
163.609: [GC 907950K->703617K(1502272K), 0.1437660 secs]
164.132: [GC 908097K->697145K(1502272K), 0.1251370 secs]
164.664: [GC 901625K->692846K(1502272K), 0.0874280 secs]
165.156: [GC 897326K->716169K(1502272K), 0.4418620 secs]
165.990: [GC 920649K->723994K(1502272K), 0.2661670 secs]
166.366: [GC 778964K(1502272K), 0.1491460 secs]
166.858: [GC 928470K->727183K(1502272K), 0.2431730 secs]
167.477: [GC 931663K->726894K(1502272K), 0.1688340 secs]
168.003: [GC 931374K->737988K(1502272K), 0.4463700 secs]
168.878: [GC 942468K->742348K(1502272K), 0.3141580 secs]
169.657: [GC 946828K->743280K(1502272K), 0.2889120 secs]
170.396: [GC 947760K->742445K(1502272K), 0.1974250 secs]
171.058: [GC 946925K->739482K(1502272K), 0.1586200 secs]
171.512: [GC 943962K->741155K(1502272K), 0.0649540 secs]
171.869: [GC 945635K->744319K(1502272K), 0.1544740 secs]
172.291: [GC 948799K->744843K(1502272K), 0.1254270 secs]
172.759: [GC 949323K->752475K(1502272K), 0.2204130 secs]
173.227: [GC 956955K->888247K(1502272K), 1.2884120 secs]
174.572: [GC 901182K(1502272K), 0.1682910 secs]
175.003: [GC 1092727K->1001147K(1502272K), 1.4065380 secs]
176.771: [GC 1205627K->1110825K(1502272K), 1.3020600 secs]
178.386: [GC 1315305K->1146908K(1502272K), 0.4826360 secs]
179.221: [GC 1351388K->1187769K(1502272K), 0.5685850 secs]
183.276: [Full GC 1392249K->529399K(1502272K), 4.4132870 secs]
187.734: [GC 543251K(1502272K), 0.0424670 secs]
188.129: [GC 733879K->593065K(1502272K), 0.5468950 secs]
189.054: [GC 797545K->625486K(1502272K), 0.4522720 secs]
189.845: [GC 829966K->632102K(1502272K), 0.1754710 secs]
190.292: [GC 836582K->638005K(1502272K), 0.1015230 secs]
190.651: [GC 842485K->645989K(1502272K), 0.2132360 secs]
191.223: [GC 850469K->647398K(1502272K), 0.1340320 secs]
191.615: [GC 851878K->660355K(1502272K), 0.4460270 secs]
192.460: [GC 864835K->659842K(1502272K), 0.0965190 secs]
192.816: [GC 864322K->663873K(1502272K), 0.1951780 secs]
193.280: [GC 868353K->663919K(1502272K), 0.1425010 secs]
193.701: [GC 868399K->663927K(1502272K), 0.1343170 secs]
194.170: [GC 868407K->670332K(1502272K), 0.2344010 secs]
194.691: [GC 844156K(1502272K), 0.4168120 secs]
195.185: [GC 874811K->669220K(1502272K), 0.0834450 secs]
195.583: [GC 873700K->670068K(1502272K), 0.1275490 secs]
196.039: [GC 874548K->670727K(1502272K), 0.1335240 secs]
196.488: [GC 875207K->675756K(1502272K), 0.2001090 secs]
197.021: [GC 880236K->680534K(1502272K), 0.1727690 secs]
197.548: [GC 885014K->680702K(1502272K), 0.2307930 secs]
198.097: [GC 885182K->687993K(1502272K), 0.2462300 secs]
198.602: [GC 892473K->686674K(1502272K), 0.0734380 secs]
198.959: [GC 891154K->688059K(1502272K), 0.1385920 secs]
199.450: [GC 892539K->688077K(1502272K), 0.1135960 secs]
199.929: [GC 892557K->693536K(1502272K), 0.2660590 secs]
200.447: [GC 898016K->694923K(1502272K), 0.1557960 secs]
200.860: [GC 899403K->695691K(1502272K), 0.1315750 secs]
201.269: [GC 900171K->703337K(1502272K), 0.4098500 secs]
202.086: [GC 907817K->706053K(1502272K), 0.2892610 secs]
202.725: [GC 910533K->721070K(1502272K), 0.4968020 secs]
203.593: [GC 925550K->731281K(1502272K), 0.4960330 secs]
204.493: [GC 935761K->736763K(1502272K), 0.3243620 secs]
205.202: [GC 941243K->755824K(1502272K), 0.5134800 secs]
206.102: [GC 960304K->806807K(1502272K), 1.0085290 secs]
207.163: [GC 824643K(1502272K), 0.0686650 secs]
