238.185: [GC 600193K->261473K(817728K), 0.1327420 secs]
239.631: [GC 612193K->261505K(816576K), 0.0891720 secs]
240.962: [GC 612225K->261505K(824064K), 0.1179560 secs]
242.345: [GC 624961K->261505K(822848K), 0.0880830 secs]
243.883: [GC 624961K->261473K(830656K), 0.1581010 secs]
245.350: [GC 637665K->261537K(829376K), 0.1588320 secs]
246.944: [GC 637729K->261553K(837760K), 0.1144560 secs]
248.597: [GC 649137K->261569K(835648K), 0.0755140 secs]
250.245: [GC 649153K->261585K(842816K), 0.0787140 secs]
251.578: [GC 657809K->261593K(841472K), 0.0078300 secs]
252.845: [GC 657817K->261633K(846016K), 0.0123220 secs]
254.434: [GC 664769K->261617K(844864K), 0.0141050 secs]
257.536: [GC 664753K->268345K(848000K), 0.1410710 secs]
260.086: [GC 679993K->274177K(848128K), 0.1992010 secs]
262.680: [GC 685825K->280073K(854464K), 0.2025020 secs]
265.323: [GC 700425K->285969K(854400K), 0.2909440 secs]
268.240: [GC 706321K->291969K(850112K), 0.3065690 secs]
270.884: [GC 706113K->297801K(842304K), 0.3001950 secs]
274.083: [GC 711945K->303665K(836864K), 0.3312030 secs]
277.055: [GC 696177K->309241K(832128K), 0.3984230 secs]
279.589: [GC 701753K->314793K(821504K), 0.4535730 secs]
282.619: [GC 679273K->319921K(814720K), 0.4610410 secs]
285.263: [GC 684401K->325113K(805376K), 0.4590990 secs]
287.766: [GC 658489K->329761K(793472K), 0.2064690 secs]
288.992: [GC 663137K->334473K(789696K), 0.2176360 secs]
290.199: [GC 636489K->338737K(771072K), 0.2318960 secs]
291.376: [GC 640753K->342969K(775168K), 0.2382670 secs]
292.273: [GC 615033K->346741K(736640K), 0.2381400 secs]
293.154: [GC 618805K->350581K(781696K), 0.2240740 secs]
294.006: [GC 619381K->354437K(717376K), 0.1936480 secs]
294.830: [GC 623237K->358229K(781440K), 0.1986660 secs]
295.671: [GC 632981K->362093K(775488K), 0.1560910 secs]
296.490: [GC 636845K->366013K(785344K), 0.1350650 secs]
297.304: [GC 654781K->370069K(782272K), 0.1369890 secs]
298.121: [GC 658837K->374485K(796224K), 0.1130730 secs]
298.977: [GC 679445K->378781K(794304K), 0.1050110 secs]
299.733: [GC 683741K->380037K(801152K), 0.0941700 secs]
300.370: [GC 693509K->380093K(800192K), 0.0678850 secs]
300.945: [GC 693565K->380101K(805568K), 0.0369850 secs]
301.414: [GC 699141K->380133K(805248K), 0.0256000 secs]
301.870: [GC 699173K->380133K(804736K), 0.0289340 secs]
302.337: [GC 701925K->380133K(805120K), 0.0231890 secs]
302.862: [GC 701925K->380101K(806336K), 0.0261620 secs]
303.333: [GC 708869K->380101K(807104K), 0.0231760 secs]
303.829: [GC 708869K->380101K(810624K), 0.0230650 secs]
304.616: [GC 719557K->380133K(811584K), 0.0283550 secs]
305.858: [GC 719589K->380133K(816448K), 0.0990730 secs]
307.061: [GC 732325K->380133K(817536K), 0.0551410 secs]
308.229: [GC 732325K->380133K(823360K), 0.0647870 secs]
309.566: [GC 746021K->380101K(824384K), 0.0844660 secs]
310.815: [GC 745989K->380165K(831744K), 0.1027440 secs]
312.270: [GC 759685K->380165K(832000K), 0.0421990 secs]
313.588: [GC 759685K->380181K(837760K), 0.0344940 secs]
314.844: [GC 770837K->380157K(838080K), 0.0379910 secs]
316.117: [GC 770813K->380189K(842816K), 0.0195000 secs]
317.684: [GC 781149K->380893K(843072K), 0.0760380 secs]
321.374: [GC 781853K->390981K(847808K), 0.1921600 secs]
324.401: [GC 802693K->396869K(848128K), 0.2173240 secs]
327.292: [GC 808581K->402701K(854208K), 0.2867600 secs]
329.969: [GC 820941K->408589K(838656K), 0.2727670 secs]
333.033: [GC 826829K->414581K(843392K), 0.3531040 secs]
335.694: [GC 817333K->420221K(834816K), 0.3542440 secs]
338.305: [GC 822973K->425965K(829376K), 0.3717640 secs]
341.223: [GC 804525K->431317K(821696K), 0.3966970 secs]
344.004: [GC 809877K->436701K(813952K), 0.4222960 secs]
346.754: [GC 786333K->441605K(803008K), 0.4857500 secs]
349.589: [GC 791237K->446509K(798272K), 0.4805560 secs]
352.000: [GC 765421K->451029K(781696K), 0.5645080 secs]
