242.359: [GC 1031554K->731438K(1162560K), 0.3986170 secs]
244.498: [GC 1047278K->739654K(1162176K), 0.3636010 secs]
246.453: [GC 1055494K->746645K(1162816K), 0.3817190 secs]
248.322: [GC 1066069K->753825K(1162560K), 0.3662390 secs]
250.124: [GC 1073249K->762137K(1165184K), 0.3714360 secs]
251.988: [GC 1088665K->769453K(1165312K), 0.3829310 secs]
253.869: [GC 1095981K->776877K(1169664K), 0.4022020 secs]
254.272: [Full GC 776877K->774534K(1357248K), 11.5680960 secs]
267.473: [GC 1110278K->783456K(1357248K), 1.0980460 secs]
270.476: [GC 1119200K->791008K(1360256K), 0.3549940 secs]
272.511: [GC 1134624K->798624K(1362048K), 0.3843100 secs]
274.746: [GC 1142240K->807360K(1365760K), 0.4347870 secs]
277.040: [GC 1158336K->815232K(1365696K), 0.4827200 secs]
279.200: [GC 1166208K->824224K(1358208K), 0.5633940 secs]
281.305: [GC 1165152K->831944K(1351424K), 0.5891630 secs]
283.721: [GC 1172872K->839584K(1347648K), 0.5985580 secs]
285.836: [GC 1159392K->848040K(1337472K), 0.6005250 secs]
287.860: [GC 1167848K->854951K(1344256K), 0.6218730 secs]
290.028: [GC 1160551K->861743K(1307584K), 0.5833060 secs]
292.262: [GC 1167343K->868419K(1348864K), 0.5483560 secs]
294.226: [GC 1179139K->876355K(1345280K), 0.4889640 secs]
296.457: [GC 1187075K->883142K(1346432K), 0.4401260 secs]
