209.791: [GC 1026324K->717748K(1155200K), 0.3363460 secs]
211.340: [GC 1037492K->724980K(1158144K), 0.7830330 secs]
213.885: [GC 1044724K->733300K(1159168K), 0.4509250 secs]
215.954: [GC 1065204K->740664K(1161920K), 0.6426270 secs]
218.232: [GC 1072568K->748072K(1169152K), 0.4805480 secs]
220.311: [GC 1095976K->757032K(1171392K), 0.5554150 secs]
222.479: [GC 1104936K->764808K(1174080K), 0.6513360 secs]
224.673: [GC 1114824K->772392K(1159872K), 0.5242000 secs]
226.624: [GC 1122408K->781524K(1170432K), 0.4528670 secs]
228.466: [GC 1122580K->789140K(1160640K), 0.4416520 secs]
230.198: [GC 1130196K->797908K(1154752K), 0.5637170 secs]
231.923: [GC 1116436K->805067K(1146880K), 0.5080410 secs]
233.732: [GC 1123595K->812107K(1148864K), 0.5277910 secs]
234.260: [Full GC 812107K->808940K(1334720K), 11.7661110 secs]
247.234: [GC 1109548K->816718K(1338368K), 1.1507620 secs]
249.544: [GC 1117326K->824750K(1338048K), 0.4650410 secs]
251.111: [GC 1128430K->831666K(1338496K), 0.5567690 secs]
252.774: [GC 1135346K->838650K(1339968K), 0.5076210 secs]
254.596: [GC 1143482K->845618K(1308992K), 0.6378260 secs]
256.612: [GC 1150450K->853394K(1343040K), 0.5049750 secs]
258.681: [GC 1162194K->860058K(1339584K), 0.9547200 secs]
261.047: [GC 1168858K->866913K(1340800K), 0.5894220 secs]
262.738: [GC 1178913K->873645K(1339904K), 0.4055780 secs]
264.388: [GC 1185645K->881705K(1346880K), 0.4043040 secs]
266.039: [GC 1200553K->888645K(1281920K), 0.3777480 secs]
267.939: [GC 1207493K->895736K(1345792K), 0.4312890 secs]
269.681: [GC 1211704K->903948K(1280448K), 0.2986760 secs]
271.095: [GC 1219916K->910956K(1346624K), 0.3737110 secs]
272.566: [GC 1228140K->918056K(1280576K), 0.3100540 secs]
274.016: [GC 1235240K->925164K(1347008K), 0.3080450 secs]
275.571: [GC 1245164K->933368K(1345216K), 0.3010700 secs]
277.007: [GC 1253368K->940632K(1347392K), 0.3051100 secs]
278.576: [GC 1268056K->947992K(1347008K), 0.3483270 secs]
280.100: [GC 1275416K->956504K(1352640K), 0.4392770 secs]
281.791: [GC 1293272K->964003K(1352448K), 0.4167260 secs]
283.460: [GC 1300771K->971419K(1360000K), 0.4162040 secs]
285.123: [GC 1316443K->980235K(1359936K), 0.4809430 secs]
285.604: [Full GC 980235K->978246K(1445056K), 13.4981960 secs]
300.757: [GC 1323270K->986887K(1439616K), 1.3583460 secs]
304.032: [GC 1333191K->995815K(1442944K), 0.5927870 secs]
306.678: [GC 1342119K->1032270K(1422912K), 0.8544930 secs]
309.537: [GC 1358478K->1075700K(1436288K), 1.0784280 secs]
312.545: [GC-- 1401908K->1436253K(1436288K), 1.6525680 secs]
314.198: [Full GC 1436253K->1018559K(1436288K), 48.4590920 secs]
364.245: [Full GC 1344767K->1055643K(1436288K), 15.2563680 secs]
380.724: [Full GC 1344767K->1062172K(1436288K), 12.0841870 secs]
394.222: [Full GC 1344767K->1068555K(1436288K), 4.9616820 secs]
399.666: [Full GC 1344767K->1074812K(1436288K), 3.8206080 secs]
403.923: [Full GC 1344767K->1080979K(1436288K), 10.7655090 secs]
415.938: [Full GC 1344767K->1087012K(1436288K), 11.9634900 secs]
429.009: [Full GC 1344766K->1092956K(1436288K), 8.4392370 secs]
438.521: [Full GC 1344766K->1098529K(1436288K), 9.7020210 secs]
449.227: [Full GC 1344766K->1104242K(1436288K), 10.8534840 secs]
461.089: [Full GC 1344766K->1109848K(1436288K), 11.7347790 secs]
473.833: [Full GC 1344765K->1115330K(1436288K), 8.5693280 secs]
